SerialNumber,Red,Green,Blue,Date,Label
48,1.6093,1.9978,4.244,2016-Jun-16,PostIRCorrection
49,1.3981,1.8228,3.2727,,Original
49,,,,,
49,,,,,
50,1.0833,1.3973,2.4978,,Original
50,1.2102,1.5449,3.0268,2016-Mar-01,PreIRCorrection
50,1.3681,1.7449,3.5057,2016-Mar-10,PostIRCorrection
51,1.3431,1.7792,3.3415,,Original
51,,,,,
51,,,,,
52,1.7895,2.3051,4.6897,,Original
52,,,,,
52,,,,,
53,1.3776,1.7763,3.375,,Original
53,,,,,
53,,,,,
54,1.2991,1.6548,3.1591,,Original
54,,,,,
54,,,,,
55,1.2296,1.6118,2.9643,,Original
55,,,,,
55,,,,,
56,1.6275,2.1013,3.9524,,Original
56,,,,,
56,,,,,
57,1.2661,1.7037,3.0667,,Original
57,,,,,
57,,,,,
58,1.6988,2.3898,4.2727,,Original
58,,,,,
58,,,,,
59,1.2936,1.6988,3.1333,,Original
59,,,,,
59,,,,,
60,1.2769,1.6939,2.9643,,Original
60,,,,,
60,,,,,
61,1.192,1.5974,2.8621,,Original
61,,,,,
61,,,,,
62,1.287,1.6747,3.2326,,Original
62,,,,,
62,,,,,
63,1.2897,1.725,2.9362,,Original
63,,,,,
63,,,,,
64,1.2672,1.66,3.0182,,Original
64,,,,,
64,,,,,
65,1.2287,1.6114,2.9643,,Original
65,,,,,
65,,,,,
66,1.1942,1.66,2.7655,,Original
66,,,,,
66,,,,,
67,1.6436,2.1275,3.9524,,Original
67,,,,,
67,,,,,
68,1.2862,1.66,3.0182,,Original
68,,,,,
68,,,,,
69,1.2388,1.6895,2.7667,,Original
69,,,,,
69,,,,,
70,1.694,2.3056,4.15,,Original
70,1.972,2.5749,5.209,2016-Apr-21,PreIRCorrection
70,2.0489,2.6811,5.4091,2016-Apr-26,PostIRCorrection
71,1.2264,1.6436,3.0182,,Original
71,,,,,
71,,,,,
72,1.272,1.6704,2.9223,,Original
72,,,,,
72,,,,,
73,1.1835,1.6405,2.8333,,Original
73,,,,,
73,,,,,
74,1.207,1.6121,2.8769,,Original
74,,,,,
74,,,,,
75,1.5203,2.1345,3.9026,,Original
75,,,,,
75,,,,,
76,1.2359,1.5847,2.9219,,Original
76,,,,,
76,,,,,
77,1.2437,1.6023,3.054,,Original
77,,,,,
77,,,,,
78,1.191,1.5714,2.8769,,Original
78,,,,,
78,,,,,
79,1.2033,1.6368,2.7914,,Original
79,,,,,
79,,,,,
80,1.255,1.6121,2.9683,,Original
80,,,,,
80,,,,,
81,1.214,1.5191,2.9219,,Original
81,1.4675,1.7696,3.8517,2016-Mar-01,PreIRCorrection
81,1.5168,1.8397,4.0466,2016-Mar-10,PostIRCorrection
82,1.1941,1.5457,2.9686,,Original
82,,,,,
82,,,,,
83,1.2764,1.7253,2.9864,,Original
83,,,,,
83,,,,,
84,1.7171,2.3974,4.1833,,Original
84,2.0108,2.6258,5.1863,2016-Jun-16,PreIRCorrection
84,2.2454,2.9549,5.8579,2016-Jun-21,PostIRCorrection
85,1.2256,1.6804,2.9107,,Original
85,,,,,
85,,,,,
86,1.6633,2.2049,4.1795,,Original
86,1.896,2.4372,5.282,2016-Apr-21,PreIRCorrection
