SerialNumber,Red,Green,Blue,Date,Label
199,2.2161,2.7903,5.98,2016-Mar-14,PostIRCorrection
200,2.2629,3.2189,5.5819,,Original
200,2.4547,3.2627,6.481,2016-Mar-11,PreIRCorrection
200,2.5923,3.39,6.7718,2016-Mar-14,PostIRCorrection
201,1.8288,2.3647,4.4965,,Original
201,1.9631,2.4875,5.3605,2016-Apr-21,PreIRCorrection
201,2.0883,2.6481,5.5716,2016-Apr-26,PostIRCorrection
202,1.8308,2.4847,4.3764,,Original
202,2.0423,2.7117,5.4075,2016-Mar-31,PreIRCorrection
202,2.0761,2.7406,5.433,2016-Apr-07,PostIRCorrection
203,1.8769,2.5667,4.7063,,Original
203,2.4261,3.1351,6.55,2016-Apr-20,PreIRCorrection
203,2.3769,3.0618,6.2729,2016-Apr-22,PostIRCorrection
204,1.8349,2.3904,4.5023,,Original
204,2.0521,2.637,5.4824,2016-Mar-31,PreIRCorrection
204,2.1569,2.7398,5.7936,2016-Apr-07,PostIRCorrection
205,1.8047,2.4348,4.5351,,Original
205,2.0804,2.7513,5.7792,2016-Apr-20,PreIRCorrection
205,2.0832,2.7391,5.6344,2016-Apr-22,PostIRCorrection
206,1.8444,2.4226,4.6714,,Original
206,2.0007,2.5414,5.5388,2016-Apr-21,PreIRCorrection
206,2.0549,2.6052,5.6625,2016-Apr-26,PostIRCorrection
207,1.969,2.6676,4.9058,,Original
207,2.163,2.8485,5.9483,2016-Mar-31,PreIRCorrection
207,2.0646,2.6857,5.5596,2016-Apr-07,PostIRCorrection
208,1.8776,2.5436,4.745,,Original
208,2.0318,2.7097,5.6932,2016-Mar-11,PreIRCorrection
208,2.0145,2.6784,5.5857,2016-Mar-14,PostIRCorrection
209,2.3123,2.9163,6.096,,Original
209,1.9917,2.4919,5.3,2016-Mar-11,PreIRCorrection
209,2.05,2.5585,5.44,2016-Mar-14,PostIRCorrection
210,1.8859,2.5576,4.6076,,Original
210,2.0294,2.7226,5.296,2016-Mar-11,PreIRCorrection
210,2.0613,2.7643,5.3342,2016-Mar-14,PostIRCorrection
211,0.966,1.4285,1.1004,,Original
211,0.5201,1.0403,0.7379,2016-Mar-11,PreIRCorrection
211,2.0055,3.3257,6.2273,2016-May-01,PostIRCorrection
212,1.0743,1.4396,1.7978,,Original
212,0.6672,0.9675,1.1235,2016-Mar-11,PreIRCorrection
212,3.0898,4.671,9.5339,2016-May-01,PostIRCorrection
213,0.5883,0.6853,0.9058,,Original
213,0.4714,0.5489,0.6889,2016-Feb-24,PreIRCorrection
213,2.3219,3.21,5.9409,2016-May-01,PostIRCorrection
214,0.5266,0.6265,0.8248,,Original
214,0.392,0.4978,0.6216,2016-Apr-20,PreIRCorrection
214,2.5942,3.5733,7.1192,2016-May-01,PostIRCorrection
215,2.0671,1.995,2.8125,,Original
215,1.5674,1.4846,2.1356,2016-Apr-20,PreIRCorrection
215,3.8018,3.1203,7.5005,2016-Apr-22,PostIRCorrection
216,0.9644,1.0149,1.4464,,Original
216,0.4949,0.8906,0.7972,2016-Mar-11,PreIRCorrection
216,3.0662,5.2,8.2462,2016-May-01,PostIRCorrection
217,0.5184,0.6364,0.8017,,Original
217,0.3883,0.4862,0.5736,2016-Apr-20,PreIRCorrection
217,2.556,3.5936,7.262,2016-May-01,PostIRCorrection
218,0.8758,1.2046,1.8391,,Original
218,0.9802,1.2588,1.7294,2016-Mar-11,PreIRCorrection
218,1.9524,3.231,5.4463,2016-Apr-27,PostIRCorrection
219,1.3795,1.2739,2.0453,,Original
219,0.9583,1.2343,1.206,2016-Mar-11,PreIRCorrection
219,3.0216,4.4934,8.6519,2016-May-01,PostIRCorrection
220,1.2965,1.3744,1.9317,,Original
220,0.8455,1.1594,1.4086,2016-Mar-11,PreIRCorrection
220,2.2507,3.7735,7.4165,2016-May-01,PostIRCorrection
221,0.8265,1.3057,1.2161,,Original
221,0.5193,1.0269,0.776,2016-Mar-11,PreIRCorrection
221,2.1641,3.5699,6.3592,2016-May-01,PostIRCorrection
222,1.0842,1.1519,1.5393,,Original
222,0.8277,0.9158,1.1154,2016-Mar-11,PreIRCorrection
222,2.1375,3.4678,6.1219,2016-May-01,PostIRCorrection
223,1.138,1.2662,1.76,,Original
223,0.895,1.0868,1.3389,2016-Mar-07,PreIRCorrection
223,2.087,3.7105,6.5347,2016-May-01,PostIRCorrection
224,0.5007,1.0652,0.7523,,Original
224,0.3612,0.8437,0.5633,2016-Mar-07,PreIRCorrection
224,2.4117,4.4716,6.4293,2016-May-01,PostIRCorrection
225,0.8306,1.4324,1.4509,,Original
225,0.611,1.1583,0.9471,2016-Mar-07,PreIRCorrection
225,2.1772,3.5242,6.148,2016-May-01,PostIRCorrection
226,0.9842,1.2432,1.3846,,Original
226,0.7147,0.9527,0.8783,2016-Mar-11,PreIRCorrection
226,2.3778,3.7502,6.6521,2016-May-01,PostIRCorrection
227,1.1029,1.1336,2.0437,,Original
227,,,,,
227,,,,,
228,2.0737,1.8644,2.7926,,Original
228,1.1189,1.3251,1.6399,2016-Apr-13,PreIRCorrection
228,3.1461,3.0347,6.856,2016-May-01,PostIRCorrection
229,0.6982,0.7657,0.9412,,Original
229,0.5304,0.6529,0.5912,2016-Apr-01,PreIRCorrection
229,2.9342,4.0309,8.2401,2016-May-01,PostIRCorrection
230,0.8967,1.1534,1.6763,,Original
230,0.5062,0.9482,0.8654,2016-Apr-01,PreIRCorrection
230,2.7716,4.4844,8.4405,2016-May-01,PostIRCorrection
231,0.8251,1.0942,1.3668,,Original
231,0.5095,0.7646,0.7856,2016-Mar-07,PreIRCorrection
231,1.9987,3.3225,5.6108,2016-May-01,PostIRCorrection
232,0.9756,1.3039,1.6204,,Original
232,0.7009,1.0776,1.0135,2016-Mar-07,PreIRCorrection
232,2.1029,3.5777,6.823,2016-May-01,PostIRCorrection
233,0.9992,1.0688,1.6048,,Original
233,0.837,0.9905,1.1552,2016-Mar-11,PreIRCorrection
233,2.3321,3.8537,6.8478,2016-May-01,PostIRCorrection
234,1.2909,1.6113,1.742,,Original
234,1.307,1.4692,1.6034,2016-Mar-11,PreIRCorrection
234,2.6402,3.9678,7.7163,2016-May-01,PostIRCorrection
235,1.2281,1.2508,1.6725,,Original
235,0.7074,1.0306,1.1749,2016-May-16,PreIRCorrection
235,2.8557,4.4901,8.8282,2016-Jun-06,PostIRCorrection
236,0.844,1.0097,1.4872,,Original
236,0.7231,0.9907,1.2587,2016-May-16,PreIRCorrection
236,2.1687,3.3537,7.5064,2016-Jun-06,PostIRCorrection
237,0.6319,1.0259,1.1782,,Original
237,0.5054,0.8724,0.9538,2016-May-16,PreIRCorrection
237,2.1167,3.208,6.6972,2016-Jun-06,PostIRCorrection
238,NaN,NaN,NaN,,Original
238,,,,,
238,,,,,
239,1.2135,1.464,2.0475,,Original
239,1.1382,1.3437,1.803,2016-May-16,PreIRCorrection
239,2.6156,4.3645,8.167,2016-Jun-06,PostIRCorrection
240,1.036,1.117,1.7733,,Original
240,0.6316,0.9564,1.1364,2016-May-16,PreIRCorrection
240,2.578,4.2127,8.6873,2016-Jun-06,PostIRCorrection
241,0.658,0.9966,1.1459,,Original
241,0.5741,0.9059,0.8852,2016-May-16,PreIRCorrection
241,1.8267,3.1299,5.6148,2016-Jun-06,PostIRCorrection
242,1.0366,1.344,1.7688,,Original
242,0.5447,1.0558,0.9167,2016-May-16,PreIRCorrection
242,2.6852,4.6756,8.4724,2016-Jun-06,PostIRCorrection
243,0.7914,1.3055,1.6133,,Original
243,0.605,1.1419,1.0427,2016-May-16,PreIRCorrection
243,2.6493,4.4566,8.5805,2016-Jun-06,PostIRCorrection
244,NaN,NaN,NaN,,Original
244,,,,,
244,,,,,
245,1.2002,1.7089,1.8683,,Original
245,0.958,1.5282,1.3851,2016-May-16,PreIRCorrection
245,2.3223,4.0073,7.377,2016-Jun-06,PostIRCorrection
246,NaN,NaN,NaN,,Original
246,,,,,
246,,,,,
247,0.7067,0.9784,1.2165,,Original
247,0.4598,0.8155,0.9101,2016-May-16,PreIRCorrection
247,1.6394,2.8399,4.9031,2016-Jun-06,PostIRCorrection
248,0.8804,1.2972,1.4113,,Original
248,0.6768,1.084,1.0698,2016-May-16,PreIRCorrection
248,2.3294,3.8144,7.6088,2016-Jun-06,PostIRCorrection
249,1.2235,1.4144,2.0922,,Original
249,1.1009,1.2426,1.7713,2016-May-16,PreIRCorrection
249,2.5403,3.9361,8.7979,2016-Jun-06,PostIRCorrection
250,0.9349,1.1031,1.2414,,Original
250,0.6922,1.0207,0.9935,2016-Apr-13,PreIRCorrection
250,2.8797,4.4222,8.3048,2016-May-01,PostIRCorrection
251,0.6727,0.8941,1.2259,,Original
251,0.4386,0.7865,0.7442,2016-Apr-01,PreIRCorrection
251,2.1648,3.6717,5.9833,2016-Apr-20,PostIRCorrection
252,0.916,1.1406,1.4616,,Original
252,0.686,1.0723,1.2255,2016-Apr-20,PreIRCorrection
252,2.7528,4.3411,8.5886,2016-May-01,PostIRCorrection
253,0.7357,1.0443,1.1786,,Original
253,0.482,0.8445,0.7691,2016-Jun-13,PreIRCorrection
253,2.6299,4.2022,8.1976,2016-Jun-24,PostIRCorrection
254,0.6207,0.7131,0.9032,,Original
254,0.6478,0.709,0.9031,2016-Apr-20,PreIRCorrection
254,1.8522,2.556,5.3471,2016-May-01,PostIRCorrection
255,0.5426,0.6791,0.8336,,Original
255,0.5403,0.6857,0.7356,2016-Apr-01,PreIRCorrection
255,2.3411,3.3272,6.7839,2016-May-01,PostIRCorrection
256,0.7428,1.0216,1.3322,,Original
256,0.5926,0.893,1.074,2016-Apr-20,PreIRCorrection
256,2.8863,4.4729,8.9746,2016-May-01,PostIRCorrection
257,0.8751,1.2839,1.4436,,Original
257,0.7414,1.1992,1.133,2016-Apr-20,PreIRCorrection
257,2.7771,4.2459,8.169,2016-May-01,PostIRCorrection
258,0.8602,1.0644,1.4247,,Original
258,0.6952,0.9923,1.0883,2016-Apr-01,PreIRCorrection
258,2.6833,4.06,8.5684,2016-May-01,PostIRCorrection
259,0.9806,1.249,1.9522,,Original
259,0.7423,1.2421,1.4853,2016-Apr-01,PreIRCorrection
259,2.97,4.6921,9.1235,2016-May-01,PostIRCorrection
260,0.8545,1.1447,1.3947,,Original
260,0.8526,1.1331,1.2857,2016-Apr-20,PreIRCorrection
260,2.3882,4.3418,7.0146,2016-May-01,PostIRCorrection
261,0.9046,1.1111,1.5219,,Original
262,0.6864,1.186,1.5279,,Original
262,2.2344,3.3563,6.66,2016-Mar-11,PreIRCorrection
262,1.6304,2.7347,4.8787,2016-Mar-30,PostIRCorrection
263,0.9086,1.2272,1.769,,Original
263,0.6552,1.1174,1.1233,2016-Feb-26,PreIRCorrection
263,1.7072,2.8346,5.2005,2016-Apr-01,PostIRCorrection
264,0.861,1.3908,1.7196,,Original
264,0.7798,1.5838,1.324,2016-Feb-26,PreIRCorrection
264,1.8258,2.9328,5.4197,2016-Mar-04,PostIRCorrection
265,0.5821,0.9798,0.9415,,Original
265,0.543,0.9421,0.8503,2016-Mar-11,PreIRCorrection
265,2.1845,3.638,5.3219,2016-May-01,PostIRCorrection
266,0.9806,1.0898,1.7287,,Original
266,0.8191,0.9146,1.3639,2016-Feb-26,PreIRCorrection
266,1.5387,1.9083,3.6462,2016-Mar-30,PostIRCorrection
267,0.9438,1.1242,1.591,,Original
267,0.8419,1.0161,1.2658,2016-Feb-26,PreIRCorrection
267,1.5207,1.7942,4.0946,2016-Mar-31,PostIRCorrection
268,1.3169,1.7276,2.3523,,Original
268,1.0062,1.4632,1.7052,2016-Feb-26,PreIRCorrection
268,1.7388,3.0395,4.3685,2016-May-02,PostIRCorrection
269,0.9563,1.2331,1.6607,,Original
269,0.7911,1.0451,1.3436,2016-Feb-26,PreIRCorrection
269,1.407,1.8311,3.7412,2016-May-02,PostIRCorrection
270,1.0434,1.1969,1.8202,,Original
270,0.9406,1.0722,1.5482,2016-Mar-01,PreIRCorrection
270,1.6472,2.0595,4.0298,2016-Apr-20,PostIRCorrection
271,1.0086,1.0539,1.4627,,Original
271,0.7795,0.8748,1.0237,2016-Mar-01,PreIRCorrection
271,2.0838,2.3069,6.3321,2016-May-01,PostIRCorrection
272,0.9152,1.0747,1.6349,,Original
272,0.7489,0.8644,1.3515,2016-Mar-07,PreIRCorrection
272,1.3711,1.7706,3.5188,2016-May-01,PostIRCorrection
273,1.1265,1.3231,2.0933,,Original
273,0.9595,1.1375,1.654,2016-Mar-18,PreIRCorrection
273,1.8179,2.2486,4.5692,2016-Apr-13,PostIRCorrection
274,1.4864,1.8324,2.7238,,Original
274,1.0122,1.576,1.8814,2016-Mar-18,PreIRCorrection
274,1.6525,2.7298,4.6562,2016-May-01,PostIRCorrection
275,NaN,NaN,NaN,,Original
275,,,,,
275,,,,,
276,NaN,NaN,NaN,,Original
276,,,,,
276,,,,,
277,1.2439,1.6988,2.5446,,Original
277,1.0923,1.529,1.9684,2016-Mar-18,PreIRCorrection
277,1.4766,1.9343,3.5204,2016-Jun-09,PostIRCorrection
278,1.4023,1.5746,2.3651,,Original
278,0.965,1.3619,1.681,2016-Mar-18,PreIRCorrection
278,1.8608,2.7078,6.849,2016-Mar-23,PostIRCorrection
279,1.0461,1.2457,1.8951,,Original
279,0.9137,1.1034,1.5764,2016-Mar-18,PreIRCorrection
279,1.5529,1.9242,4.2573,2016-May-01,PostIRCorrection
280,1.3298,1.7888,2.5487,,Original
280,1.0516,1.6242,1.8712,2016-Mar-18,PreIRCorrection
280,1.584,2.5125,3.8993,2016-Apr-29,PostIRCorrection
281,1.3248,1.7079,2.6682,,Original
281,,,,,
281,,,,,
282,1.4881,1.6654,1.8767,,Original
282,1.1128,1.364,1.6121,2016-Apr-01,PreIRCorrection
282,2.1674,2.7805,6.9443,2016-Apr-15,PostIRCorrection
283,0.886,1.0715,1.3596,,Original
283,0.4927,0.6176,0.8135,2016-Jun-13,PreIRCorrection
283,1.5096,2.0351,4.2052,2016-Jun-24,PostIRCorrection
284,1.3263,1.6546,2.2039,,Original
284,0.986,1.5197,1.477,2016-Jun-13,PreIRCorrection
284,1.7642,2.7727,4.2278,2016-Jun-16,PostIRCorrection
285,1.1355,1.8433,1.9336,,Original
285,0.9796,1.5732,1.5992,2016-Apr-01,PreIRCorrection
285,1.6459,2.8839,3.7997,2016-Apr-16,PostIRCorrection
286,0.895,1.0193,1.4133,,Original
286,,,,,
286,,,,,
287,0.9573,1.1084,1.7274,,Original
287,0.768,0.8402,1.4077,2016-Apr-01,PreIRCorrection
287,1.6457,2.3769,3.6696,2016-Jun-14,PostIRCorrection
288,1.0709,1.2566,1.9287,,Original
288,0.9021,1.0489,1.4874,2016-Apr-01,PreIRCorrection
288,1.4655,1.715,3.787,2016-Jun-23,PostIRCorrection
289,1.2841,1.6665,2.5017,,Original
289,0.8523,1.4138,1.7659,2016-Jun-13,PreIRCorrection
289,1.5548,2.6453,4.7744,2016-Jun-24,PostIRCorrection
290,1.3797,1.8294,2.2257,,Original
290,0.9485,1.4697,1.3645,2016-Jun-13,PreIRCorrection
290,2.043,2.9359,4.5524,2016-Jun-16,PostIRCorrection
291,1.2394,1.835,2.5514,,Original
291,1.1228,1.6924,2.1818,2016-Mar-18,PreIRCorrection
291,1.54,2.3909,4.0108,2016-Jun-21,PostIRCorrection
292,1.1287,1.7104,2.2964,,Original
292,0.8969,1.5433,1.6019,2016-Apr-01,PreIRCorrection
292,1.5713,2.5894,4.2405,2016-Jun-14,PostIRCorrection
293,1.1167,1.256,2.05,,Original
293,0.8679,0.9974,1.4317,2016-Apr-01,PreIRCorrection
293,1.5395,1.8904,3.5874,2016-Jun-23,PostIRCorrection
294,1.0744,1.2538,1.8585,,Original
294,0.8295,0.9935,1.2779,2016-Apr-01,PreIRCorrection
294,1.691,2.0676,5.0089,2016-Jun-24,PostIRCorrection
295,1.6546,1.8641,2.6791,,Original
295,1.2843,1.732,1.9165,2016-Jun-13,PreIRCorrection
295,2.1273,3.0337,5.1917,2016-Jun-16,PostIRCorrection
296,0.9715,1.165,1.807,,Original
296,0.828,0.96,1.4676,2016-Apr-01,PreIRCorrection
296,1.4153,1.7526,4.0122,2016-Jun-24,PostIRCorrection
297,1.2232,1.6407,2.0372,,Original
297,0.8605,1.3891,1.3545,2016-Jun-13,PreIRCorrection
297,1.4841,2.5491,3.525,2016-Jun-16,PostIRCorrection
298,1.0874,1.5208,1.9851,,Original
298,0.8574,1.4187,1.4479,2016-Apr-01,PreIRCorrection
298,1.6115,2.5412,4.3875,2016-Jun-14,PostIRCorrection
299,1.3087,1.8951,2.7656,,Original
299,1.017,1.6298,1.7607,2016-Jun-13,PreIRCorrection
299,1.7441,2.8254,4.7302,2016-Jun-21,PostIRCorrection
300,1.2259,1.7579,2.4911,,Original
300,0.9711,1.6741,1.8858,2016-Apr-01,PreIRCorrection
300,1.8073,2.736,5.0572,2016-Jun-14,PostIRCorrection
301,1.0814,1.4913,1.9623,,Original
301,,,,,
301,,,,,
302,1.2961,1.2523,2.0645,,Original
302,1.319,1.0967,1.7273,2016-Apr-01,PreIRCorrection
302,1.9797,2.5439,4.4993,2016-Jun-14,PostIRCorrection
303,0.9898,1.3617,2.1829,,Original
303,0.8006,1.1012,1.4773,2016-Apr-01,PreIRCorrection
303,1.6489,2.5876,4.2162,2016-Apr-16,PostIRCorrection
304,1.6909,1.8907,3.3012,,Original
304,1.5895,1.7612,2.4333,2016-Apr-06,PreIRCorrection
304,2.176,3.13,5.7808,2016-Jun-14,PostIRCorrection
305,1.252,1.8402,2.7776,,Original
305,1.0499,1.5909,1.96,2016-Apr-06,PreIRCorrection
305,1.6285,2.6032,4.4107,2016-Apr-16,PostIRCorrection
306,1.2245,1.7022,2.3404,,Original
306,0.8779,1.3508,1.4164,2016-Apr-06,PreIRCorrection
306,1.6455,2.6086,4.6116,2016-Apr-16,PostIRCorrection
307,1.1752,1.6197,2.499,,Original
307,1.002,1.3376,1.9257,2016-Feb-26,PreIRCorrection
307,1.6694,2.3193,4.9134,2016-Jun-14,PostIRCorrection
308,1.3789,2.0279,2.7404,,Original
308,1.0944,1.7469,1.7972,2016-Apr-06,PreIRCorrection
308,1.8995,2.9122,6.0105,2016-Apr-16,PostIRCorrection
309,0.9965,1.1907,1.9593,,Original
309,0.9077,1.0641,1.6664,2016-Jun-13,PreIRCorrection
309,1.4944,1.9247,3.6323,2016-Jun-16,PostIRCorrection
310,1.4597,1.957,2.649,,Original
310,1.3305,1.9637,1.8837,2016-Jun-13,PreIRCorrection
310,2.7588,4.4862,7.7841,2016-Jun-16,PostIRCorrection
311,1.0435,1.257,1.9496,,Original
311,0.911,1.0976,1.614,2016-Apr-06,PreIRCorrection
311,1.544,2.1689,3.6794,2016-Jun-14,PostIRCorrection
312,1.1066,1.3759,1.9937,,Original
312,0.8436,1.0474,1.4399,2016-Apr-06,PreIRCorrection
312,1.5183,1.8794,3.7847,2016-Apr-20,PostIRCorrection
313,0.967,1.1394,1.6039,,Original
313,0.7486,0.9078,1.1248,2016-Apr-06,PreIRCorrection
313,1.6357,2.0167,3.9381,2016-Apr-20,PostIRCorrection
314,1.405,1.6997,2.2009,,Original
314,0.9556,1.4872,1.3438,2016-Feb-24,PreIRCorrection
314,1.7841,2.84,5.2513,2016-May-01,PostIRCorrection
315,0.95,1.1324,1.7404,,Original
315,,,,,
315,,,,,
316,0.9244,1.1143,1.642,,Original
316,,,,,
316,,,,,
317,0.9155,1.1495,1.5804,,Original
317,0.7648,0.9304,1.3085,2016-Mar-18,PreIRCorrection
317,1.5397,1.8433,3.9878,2016-Apr-07,PostIRCorrection
318,1.0335,1.2208,2.0064,,Original
318,0.8834,1.0523,1.5853,2016-Mar-18,PreIRCorrection
318,1.5053,1.8036,3.9726,2016-Apr-20,PostIRCorrection
319,0.7626,0.8479,1.2952,,Original
319,0.4829,0.5718,0.8309,2016-Mar-18,PreIRCorrection
319,1.3464,1.632,3.5071,2016-May-01,PostIRCorrection
320,0.9098,1.1315,1.6161,,Original
320,0.6336,0.8147,1.0958,2016-Mar-18,PreIRCorrection
320,1.4221,1.8054,3.3865,2016-May-01,PostIRCorrection
321,1.2625,1.8817,2.5679,,Original
321,,,,,
321,,,,,
322,1.0747,1.2917,2.1481,,Original
322,,,,,
322,,,,,
323,1.4165,1.8502,2.8119,,Original
323,0.9307,1.386,1.6954,2016-Mar-18,PreIRCorrection
323,1.8233,2.665,4.688,2016-Apr-29,PostIRCorrection
324,1.2365,1.7404,2.7315,,Original
324,0.942,1.5139,1.7608,2016-Mar-18,PreIRCorrection
324,1.6708,2.5861,4.596,2016-May-01,PostIRCorrection
325,1.0442,1.2871,1.9758,,Original
325,0.8491,1.0413,1.5315,2016-Mar-18,PreIRCorrection
325,1.5686,2.0056,3.8124,2016-Apr-13,PostIRCorrection
326,1.2284,1.6618,2.7014,,Original
326,,,,,
326,,,,,
327,1.2225,1.761,2.3222,,Original
327,0.9025,1.3778,1.5195,2016-Mar-18,PreIRCorrection
327,1.8895,2.7612,5.7578,2016-Jun-23,PostIRCorrection
328,1.1402,1.7737,2.0989,,Original
328,0.8708,1.453,1.4988,2016-Mar-18,PreIRCorrection
328,1.6902,2.5482,4.6125,2016-Jun-21,PostIRCorrection
329,1.1073,1.7658,2.2189,,Original
329,0.9626,1.5632,1.6555,2016-Mar-18,PreIRCorrection
329,1.627,2.529,3.9128,2016-Jun-21,PostIRCorrection
330,1.168,1.9156,2.0415,,Original
330,0.9514,1.5429,1.5796,2016-Mar-18,PreIRCorrection
330,1.7462,2.8741,4.0529,2016-Jun-21,PostIRCorrection
331,0.9075,1.1172,1.5568,,Original
331,0.6983,0.8658,1.0352,2016-Mar-18,PreIRCorrection
331,1.5543,1.9007,4.1262,2016-Apr-16,PostIRCorrection
332,NaN,NaN,NaN,,Original
332,,,,,
332,,,,,
333,0.9706,1.3542,1.7206,,Original
333,0.7765,1.0669,1.2975,2016-Mar-18,PreIRCorrection
333,1.6027,2.0724,4.1526,2016-Jun-14,PostIRCorrection
334,1.1111,1.7117,2.2639,,Original
334,0.7339,1.278,1.3165,2016-Mar-18,PreIRCorrection
334,1.6586,2.5436,4.4407,2016-Jun-21,PostIRCorrection
335,0.8875,1.0737,1.575,,Original
335,0.692,0.8524,1.0857,2016-Mar-18,PreIRCorrection
335,1.4684,1.7005,3.7507,2016-Apr-13,PostIRCorrection
336,1.3288,1.9747,2.8502,,Original
336,0.7339,1.278,1.3165,2016-Mar-18,PreIRCorrection
336,2.3165,2.8521,6.2297,2016-Jun-23,PostIRCorrection
337,1.1788,1.7846,2.5586,,Original
337,,,,,
337,,,,,
338,0.8928,1.0658,1.6899,,Original
338,0.695,0.8377,1.2424,2016-Mar-18,PreIRCorrection
338,1.4624,2.0315,4.0971,2016-Mar-23,PostIRCorrection
339,0.9559,1.1576,1.8123,,Original
339,0.6701,0.8238,1.1063,2016-Mar-18,PreIRCorrection
339,1.5902,1.9435,4.0684,2016-Jun-21,PostIRCorrection
340,1.2567,1.7656,2.528,,Original
340,0.9743,1.4206,1.8524,2016-Mar-18,PreIRCorrection
340,1.7905,2.7443,4.8976,2016-Jun-21,PostIRCorrection
341,0.5209,0.6731,0.8965,,Original
341,0.6404,0.8534,1.0642,2016-Feb-24,PreIRCorrection
341,1.9183,2.3412,4.7964,2016-Jun-13,PostIRCorrection
342,1.1958,1.6905,2.4895,,Original
342,0.674,1.2144,1.2489,2016-Feb-26,PreIRCorrection
342,2.4776,3.781,6.5502,2016-Jun-14,PostIRCorrection
343,1.0102,1.5314,2.2169,,Original
343,,,,,
343,,,,,
344,1.0017,1.2004,1.7338,,Original
344,0.7495,0.9426,1.2576,2016-Mar-18,PreIRCorrection
344,1.6891,1.8817,5.0737,2016-Mar-23,PostIRCorrection
345,0.773,0.9052,1.4604,,Original
345,0.5878,0.7261,1.0384,2016-Mar-18,PreIRCorrection
345,1.6657,2.0233,4.645,2016-Jun-24,PostIRCorrection
346,1.3857,1.9065,2.8829,,Original
346,,,,,
346,,,,,
347,1.2908,1.9831,2.5496,,Original
347,1.0594,1.6811,1.8422,2016-Mar-18,PreIRCorrection
347,1.7639,2.8105,4.5321,2016-Apr-29,PostIRCorrection
348,1.0406,1.2474,1.9408,,Original
348,,,,,
348,,,,,
349,1.0927,1.5967,2.0418,,Original
349,0.6927,1.1508,1.1854,2016-Mar-18,PreIRCorrection
349,1.6825,2.6331,4.2497,2016-Jun-23,PostIRCorrection
350,0.9986,1.461,1.9398,,Original
350,,,,,
350,,,,,
351,1.2511,1.935,2.5379,,Original
351,0.9714,1.6374,1.7418,2016-Feb-26,PreIRCorrection
351,1.6296,2.6299,4.4952,2016-Jun-15,PostIRCorrection
352,1.6752,2,3.0806,,Original
352,1.4361,1.6683,2.161,2016-Mar-18,PreIRCorrection
352,2.2462,2.9199,5.1315,2016-Jun-21,PostIRCorrection
353,1.3706,1.8387,2.9398,,Original
353,1.149,1.6024,2.143,2016-Mar-18,PreIRCorrection
353,1.8604,2.8973,5.3114,2016-Apr-16,PostIRCorrection
354,1.0285,1.214,1.9472,,Original
354,0.8378,0.9351,1.4479,2016-Mar-18,PreIRCorrection
354,1.6486,2.1045,4.0631,2016-Apr-16,PostIRCorrection
355,0.9697,1.1663,1.8264,,Original
355,0.6591,0.8299,1.188,2016-Feb-26,PreIRCorrection
355,2.1216,2.6225,5.4384,2016-Jun-13,PostIRCorrection
356,1.1411,1.6495,2.3297,,Original
356,0.9502,1.6132,1.7891,2016-Feb-26,PreIRCorrection
356,1.7585,2.7763,4.7871,2016-Jun-13,PostIRCorrection
357,1.2959,1.9894,2.8535,,Original
357,1.0427,1.7152,2.0459,2016-Feb-26,PreIRCorrection
357,1.9262,3.1006,5.4128,2016-Jun-13,PostIRCorrection
358,0.815,1.0003,1.4605,,Original
358,0.811,0.9847,1.4868,2016-Mar-03,PreIRCorrection
358,1.4643,1.9455,3.4335,2016-Jun-21,PostIRCorrection
359,NaN,NaN,NaN,,Original
360,0.9009,1.1862,1.5329,,Original
361,0.9106,1.0697,1.6496,,Original
362,0.9964,1.7913,1.821,,Original
363,1.936856745,2.953552492,6.008472249,,
364,1.561016635,2.513261649,4.417007874,,
365,1.481368754,2.432383245,4.368026976,,
366,3.131713992,2.857648283,6.245622015,2016-Sep-26,Original
367,2.892570893,2.637307692,5.774315789,2016-Sep-26,Original
368,2.845629071,2.535855397,5.311881399,2016-Sep-29,Original
369,2.854074182,2.54256537,5.363529089,2016-Sep-29,Original
370,2.907983583,2.567387493,5.61308459,2016-Sep-29,Original
371,2.799948895,2.437188612,5.403155819,2016-Sep-29,Original
372,2.888110006,2.538981481,5.5062249,2016-Sep-29,Original
373,2.758083966,2.493076302,5.179576431,2016-Sep-29,Original
374,2.752008032,2.48429003,5.449304175,2016-Sep-29,Original
375,2.887996718,2.674791011,5.644329897,2016-Sep-29,Original
376,2.82479701,2.543825441,5.520806045,2016-Sep-29,Original
377,2.854568616,2.54772093,5.597002725,2016-Sep-29,Original
378,2.805244,2.479229919,5.415217391,2016-Sep-29,Original
379,2.7997,2.616786616,5.534097648,2016-Oct-07,Original
380,2.809939759,2.513144012,5.418586641,2016-Oct-07,Original
381,2.886302781,2.50779479,5.519343545,2016-Oct-07,Original
382,2.9054,2.523508975,5.643988776,2016-Oct-07,Original
383,2.859249603,2.637697375,5.352068746,2016-Oct-07,Original
384,2.682341681,2.414646755,5.147107438,2016-Oct-07,Original
385,2.742666924,2.468090649,5.122544603,2016-Oct-07,Original
386,2.854797594,2.611660448,5.491761475,2016-Oct-07,Original
387,2.753241457,2.491194808,5.272906006,2016-Oct-07,Original
388,2.85644109,2.568595422,5.482150749,2016-Oct-07,Original
389,2.942939481,2.518090114,5.73122449,2016-Oct-07,Original
